	Iozone: Performance Test of File I/O
	        Version $Revision: 3.434 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Feb 11 01:27:30 2016

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4  1336792  3588436 10821524 12902017  7940539  4274062  7100397   5735102  10821524  3791156  4018152  7100397 10821524
              64       8  1279447  3791156 12902017 15972885 15972885  4897948  9318832   7940539  15972885  4564786  4564786 10402178 12902017
              64      16  1392258  4018152 12902017 15972885 10821524  5283570  9318832   7100397  12902017  4564786  4564786 10402178 12902017
              64      32  1599680  5389653 15972885 20962191 15972885  6421025 10402178   7100397  12902017  4018152  7100397 10821524 12902017
              64      64  1734015  4018152 22737791 20962191 15972885  6421025  9006179   6421025  10821524  5283570  5389653 12902017 12902017
             128       4  1598754  3867787 10779307 11720614 10779307  4267461  9129573   6114306   8548124  4012317  3657016  9795896  9795896
             128       8  2211113  4267461 14200794 15881078 14200794  5379161 10567140   7082197  15881078  4717434  4759253 12842051 12842051
             128      16  2248149  4557257 14200794 14200794 15881078  6114306  9977956   6406138  14200794  4267461  4934216 11720614 10567140
             128      32  2098744  4759253 16365173 15881078 11470204  6114306 10567140   7082197  12842051  5122535  5545860 12842051 14200794
             128      64  2238774  4717434 14200794 15881078 14200794  5325799  9795896   6114306  16365173  4267461  8036304  7476717 14200794
             128     128  1727352  4934216 15881078 18012359 14200794  6406138  9795896   6045455  11720614  5545860  5325799 11470204 10567140
             256       4  1707589  3994490 10651598 11207494  9868433  4332998  6249745   5938650   8815202  3994490  3879045 10245071 10651598
             256       8  1981783  4332998 11091721 11695808 14164395  4907284 10245071   7791708  11207494  4840911  4652146 12812277 12812277
             256      16  2223962  4070199 11695808 13625180 14353744  5687020 10651598   7314033  16072608  4652146  4652146 12812277 13454450
             256      32  2305128  5022044 11091721 13625180 12228612  5569035 11695808   6936061  14953435  4264168  5117791  7735574 12812277
             256      64  2613746  5117791 14353744 15164624 14953435  6249745  7518900   7518900  14164395  5971678  5810112 12228612 12812277
             256     128  2639446  4070199 13454450 13454450 13625180  6107548 10651598   6719046  12812277  3950402  7314033 11569783 12661199
             256     256  1610276  4907284 14164395 13454450 12812277  5841722 10758322   4929815  10758322  5687020  5242734 10651598 11695808
             512       4  1789859  4030519 11620224 11138071  9681823  4195896  9304292   5886650   9468384  4262523  3970896 10434519 11374040
             512       8  2285029  4650188 13783088 10044089 12874162  4163357 11374040   7540170  11877300  4827914  4742616 12215097 13438092
             512      16  2572435  4742616 13438092 13872122 13522711  5699180 11943357   5115422  12215097  4827914  4375425 13522711 13522711
             512      32  2548017  5227492 14628067 15143846 14240069  6018636 12797441   7758090  15471149  5278892  5115422 13438092 15037801
             512      64  2753870  5684095 14628067 15471149 14628067  6319739  9859630   7620440  15930214  5566231  5384786 13109944 15471149
             512     128  2681653  5684095 13438092 13109944 13438092  4420457 11620224   6736026  14628067  5760329  5760329 12797441 13783088
             512     256  2152206  4973263 11877300 12215097 12215097  5886650 10641343   5566231  11877300  4000485  7758090 11620224 11943357
             512     512  1897396  5278892 12499490 12797441 12499490  6319739 11138071   5886650  11620224  5870558  5566231 11620224 11683444
